sentence,appositive-pleonastic-pronoun__Gold,appositive-pleonastic-pronoun__Razan,appositive-pleonastic-pronoun__Tilly,features_disagreed,bin__Gold,bin__Razan,bin__Tilly,zero-rel-pronoun__Gold,zero-rel-pronoun__Razan,zero-rel-pronoun__Tilly,bare-got__Gold,bare-got__Razan,bare-got__Tilly,past-tense-swap__Gold,past-tense-swap__Razan,past-tense-swap__Tilly,be-construction__Gold,be-construction__Razan,be-construction__Tilly,resultant-done__Gold,resultant-done__Razan,resultant-done__Tilly,is-was-gen__Gold,is-was-gen__Razan,is-was-gen__Tilly,demonstrative-them__Gold,demonstrative-them__Razan,demonstrative-them__Tilly,existential-it__Gold,existential-it__Razan,existential-it__Tilly,double-object__Gold,double-object__Razan,double-object__Tilly,verb-stem__Gold,verb-stem__Razan,verb-stem__Tilly,zero-3sg-pres-s__Gold,zero-3sg-pres-s__Razan,zero-3sg-pres-s__Tilly,zero-pl-s__Gold,zero-pl-s__Razan,zero-pl-s__Tilly,double-tense__Gold,double-tense__Razan,double-tense__Tilly,zero-copula__Gold,zero-copula__Razan,zero-copula__Tilly,multiple-neg__Gold,multiple-neg__Razan,multiple-neg__Tilly,neg-inversion__Gold,neg-inversion__Razan,neg-inversion__Tilly,finna__Gold,finna__Razan,finna__Tilly,n-inv-neg-concord__Gold,n-inv-neg-concord__Razan,n-inv-neg-concord__Tilly,preterite-had__Gold,preterite-had__Razan,preterite-had__Tilly,zero-poss__Gold,zero-poss__Razan,zero-poss__Tilly
"I know times are different then, but I- I know mothers and parents are younger now, but in my household, it was just my mother.",,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I said but I haven't did that work.,,,,"verb-stem, zero-rel-pronoun",,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So the more I start to like it, I switched from part time to full time.",,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stanton Road, Bruce Place, and, um, like Congress Park, too, which is like further down, went to RD-SCHOOL-2 rec center cause every Friday we skated, or the rec center have some type of activities there whether it was sports, or anything, like, cheerleading competition for girls.",,,,"verb-stem, zero-3sg-pres-s, zero-pl-s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"The craziest thing, and I- I still- I don't still think about it but when I go past the hotel that cross my mind, it was a instance where it was a, um- And I was assistant director when this happened.",,,,verb-stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And I think that's learned behavior because if you- you- growing up, I mean, everybody don't have that personality.",,,,"zero-3sg-pres-s, zero-copula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
Have no guidance.,,,,zero-3sg-pres-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No, because before you look up, DC will look totally di- it's- it look totally different now but it's gonna get way totally different than what it is now.",,,,zero-3sg-pres-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, l- looking at it I'll just say from other individuals from the outside, I mean, to them, it look- they I guess would see that as a bad neighborhood.",,,,zero-3sg-pres-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A guest walk past, how you doing?",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
"And I went by there and she was a-standing over the stove, and I said, whatchu doing?",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,
And she worked for they s- their son and his wife.,,,,"zero-copula, zero-poss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,0.0,1.0,
But truly misguided.,,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
"Cause everybody's in tune with ev- Cause of course, you know, in go go people do some of the same songs.",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
Do I think they gonna go far with the team they got?,,,,"zero-copula, zero-rel-pronoun",,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
Like I said the program called OSAY.,,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
"Like kids her age, uh, fifteen acting like eighteen, twenty-one, twenty-six, and- or older.",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
"Safety- And the reason I- um, I got into it because when I was in school, I started doing security part time for RD-WORK-5.",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
"Sister hated it when they used to come over like, where your brother at?",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
That's what happening a lot.,,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
"The first expression on your face like, ew, why- why you wanna, um, get involved with my brother and sister?",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
"Um, just- I mean, and- and you gotta figure you go to a go go, you gonna be there for a couple of hours.",,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
Why you not playing sports?,,,,zero-copula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
"I- I prefer to watch- I- I went to the- um, the Redskin game when they played Oakland, like two weeks ago.",,,,zero-pl-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Looking at it now I was like, dang I was fifteen years old, listen to somebody- somebody's problem, giving them guidance or what I think they should do, or some resources they should reach out to.",,,,zero-pl-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"No father figure in his life, um, really really good at a sport but had no guidance.",,,,zero-pl-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
And I guess before he came to our program- And cause I used to coach at number eleven boys club.,,,,zero-poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Birthday is December the first.,,,,zero-poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
A variety of songs you will hear one time from other artists that you'll- And then it's- and they do songs that they know you will like.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I did was draw.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I think the coach that I had there we didn't really s- I guess see eye to eye on certain things because he wanted me to play a position I didn't wanna play.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And cause you, I guess, figure you- you have the mindset it's no consequences for your actions at all.",,,,zero-rel-pronoun,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And he saw her and he was like, good job on the report you did yesterday.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And they had a rec center, RD-SCHOOL-2 rec that like all the surrounding neighborhoods went to.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And those just the ones I came in contact with.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because everybody I knew from junior high school and everybody in my neighborhood went to RD-SCHOOL-2 because it was closer.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because of course now, the height I'm at now, if I was going to the NBA I'm considered short.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because the neighborhood I grew up in, looking at it now, now that I'm older, yeah it was, uh, pretty rough.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"But I think- And after that I was- Cause m- m- I- I can say RD-WORK-3 was like, one of the best jobs I ever had.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But I was- this was like the third year I was there.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"But after a while, I- I guess the performance- um, my performance, uh, he took a liking to.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But how you feel don't matter at the time because you gotta figure the decisions you make is gonna affect other people and the business.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But one thing I wanted to mention though.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every decision you make, you gotta be, how would it benefit the organization I'm working for?",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every little instance we had during practice, temper tantrum.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game like that they should be dominate- And it's good that they have a bye this week all the injuries they got.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I feel it is because- Of course some of the songs they do are like, cover songs of other artists.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I heard a call over the radio about a- um, a guest needs assistance.",,,,zero-rel-pronoun,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, and as far as activities we played tag, football, basketball.",,,,zero-rel-pronoun,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, cause you don't wanna get to a point where your- um, your wedding is about how many people you bring to the wedding.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, that's the first time I ever- um, first and only time actually I ever had to, um, perform CPR.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, that's the only thing I can say he ever taught me was- All the wrong he done I didn't wanna dabble in it.",,,,zero-rel-pronoun,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was like a wooded area we went up, it was like on a hill.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not as much I was as a child.,,,,zero-rel-pronoun,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only thing you putting in there carry outs and liquor stores.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So I aksed her, I was like, well, um, if there's anything we can do to help, just let me know.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So any little thing he done did, she was on top of 'em.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So whatever guidelines the organization has those what you gotta follow.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So, that little shell you in, you quickly come out of it.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"That was one of the most positive people I've ever met, man.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ones I do, we're really close.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The- RD-NAME-2 the c- the circle I hung around and still hang around I really never hung around nobody that was- that I'm close to that got into like situations like that or put theirself in position to be in- in that situation.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uh, it's one 'em got a more tangy like, tastes like barbecue- close to barbecue type flavor.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uh, y- know what, you're absolutely right because it g- it might get to a point your team has no identity at all.",,,,zero-rel-pronoun,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, I mean, the most fun I ever had was in junior high school, I mean because in elementary school I was kind of quiet, laid back.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, initially, I mean, I- I di- I'm not gonna say I was a expert, but he- the guy I was working for thought I was.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Um, telling me about their problems they had with drug addiction, uh, with they kids.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well I didn't- that's the number I didn't wanna go over.,,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah it was, um, at- um, directly across the street was the junior high school I went to, it's RD-SCHOOL-5.",,,,zero-rel-pronoun,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
